Name,Data,News,Evaluation
CIGNA Corp.,02/05/2023,Cigna expects revenue gains from launches of Humira biosimilars,still open
CIGNA Corp.,02/05/2023,Cigna Profits Top $1 Billion With 1M New Health Plan Members Forecast For 2023,still open
CIGNA Corp.,02/05/2023,"Cigna Corp. tops earnings, but misses revenue expectations By ...",still open
CIGNA Corp.,02/05/2023,"Cigna Corp. stock falls Friday, underperforms market",still open
CIGNA Corp.,02/05/2023,"Cigna Sues Former Executive Bricker, CVS Over Departure to Rival",still open
CIGNA Corp.,02/05/2023,"Cigna Corp. Q4 Profit Increases, beats estimates",still open
CIGNA Corp.,02/05/2023,"Cigna (NYSE:CI) Releases Earnings Results, Beats Expectations By ...",still open
CIGNA Corp.,02/05/2023,Cigna: Q4 Earnings Snapshot,still open
CIGNA Corp.,02/05/2023,"CIGNA CORP : Results of Operations and Financial Condition, Financial Statements and Exhibits (form 8-K)",still open
CIGNA Corp.,02/05/2023,"NOCD Raises $34M in Round Led by Cigna Ventures, 7wireVentures",still open
CIGNA Corp.,02/05/2023,Cigna Corp. stock underperforms Friday when compared to competitors,still open
CIGNA Corp.,02/05/2023,"Zacks.com featured highlights Stride, Herc Holdings, ONEOK and ...",still open
CIGNA Corp.,02/05/2023,Should Cigna Corp (CI) Stock Be in Your Portfolio?,still open
CIGNA Corp.,02/05/2023,Cigna drops Fry's pharmacies from in-network insurance coverage,still open
CIGNA Corp.,02/05/2023,Should You Buy Cigna Corp (CI) in Health Care Plans Industry?,still open
CIGNA Corp.,02/05/2023,"Cigna, Phoenix Children's reach tentative agreement; contract discussions continue",still open
CIGNA Corp.,02/05/2023,Where Does Cigna Corp (CI) Stock Fall in the Health Care Plans Field?,still open
CIGNA Corp.,02/05/2023,"Cigna Corp. stock rises Tuesday, still underperforms market",still open
CIGNA Corp.,02/05/2023,Altrius Capital Management Inc Sells 8022 Shares of Cigna Co ...,still open
CIGNA Corp.,02/05/2023,"Jobs report, Sanofi earnings, Cigna results: 3 things to watch",still open
CIGNA Corp.,02/05/2023,Health-insurance stocks drop after Medicare Advantage proposes ...,still open
