Name,Data,News,Evaluation
D. R. Horton,02/05/2023,DR Horton affiliate working to gain approvals for Lake Norman ...,still open
D. R. Horton,02/05/2023,D.R. Horton (DHI) Rose in Q4 on Strong Results,still open
D. R. Horton,02/05/2023,U.S. homebuilder D.R. Horton beats quarterly profit estimates,still open
D. R. Horton,02/05/2023,D.R. Horton: Positioned To Overcome Macroeconomic Pressures,still open
D. R. Horton,02/05/2023,"AlphaCentric Advisors LLC Buys Shares of 3000 D.R. Horton, Inc ...",still open
D. R. Horton,02/05/2023,"Lawler: D.R. Horton (DHI) Net Order Price Declined ""Roughly"" 10 ...",still open
D. R. Horton,02/05/2023,D.R. Horton in Contract for 31 Acres of N.J. Woods,still open
D. R. Horton,02/05/2023,"Zacks Market Edge Highlights: PulteGroup, D.R. Horton and Lennar",still open
D. R. Horton,02/05/2023,BlackRock Cuts Stake in D.R. Horton (DHI),still open
D. R. Horton,02/05/2023,Bear of the Day: D.R. Horton (DHI),still open
D. R. Horton,02/05/2023,"D.R. Horton wins annexation, rezoning, more | Jamestown News ...",still open
D. R. Horton,02/05/2023,"D.R. Horton Inc. stock falls Wednesday, underperforms market",still open
D. R. Horton,02/05/2023,"D.R. Horton, KB Home, Lennar stocks dive after downgrade at RBC ...",still open
D. R. Horton,02/05/2023,D.R. Horton: Growing Market Share In A (Temporarily) Declining ...,still open
D. R. Horton,02/05/2023,"Toll Brothers upgraded to Outperform, D.R. Horton cut to Market ...",still open
D. R. Horton,02/05/2023,D.R. Horton makes $12M purchase in Harnett as part of huge development,still open
D. R. Horton,02/05/2023,"Walton Global Sells 80 Acres Outside Washington, D.C., to D.R. ...",still open
D. R. Horton,02/05/2023,"D.R. Horton Inc. stock falls Thursday, underperforms market",still open
D. R. Horton,02/05/2023,D.R. Horton Inc. stock outperforms competitors on strong trading day,still open
D. R. Horton,02/05/2023,Close to 500 new homes and apartments are in the works for Lancaster. See the latest.,still open
D. R. Horton,02/05/2023,D.R. Horton: Fiscal Q1 Earnings Snapshot,still open
D. R. Horton,02/05/2023,"BUILDING PERMITS: Jan. 15 – Jan. 28, 2023",still open
