Name,Data,News,Evaluation
Coca-Cola Enterprises,02/05/2023,"Why Coca-Cola Stock (NYSE:KO) Deserves Its ""Strong Buy"" Rating",still open
Coca-Cola Enterprises,02/05/2023,How Coca-Cola activated their enterprise CDP,still open
Coca-Cola Enterprises,02/05/2023,Alejandro Diaz Is Named Chief Compliance Officer,still open
Coca-Cola Enterprises,02/05/2023,Coca-Cola and Novartis’s CEOs don’t care if ‘ESG’ has become a toxic phrase among some,still open
Coca-Cola Enterprises,02/05/2023,Coca-Cola continues its strategic intervention in environmental ...,still open
Coca-Cola Enterprises,02/05/2023,"Over dinner in Davos, the CEOs of Novartis, Coca-Cola, and Grab shared what’s worrying them",still open
Coca-Cola Enterprises,02/05/2023,Coca-Cola Europacific Partners Netherlands Selects SymphonyAI ...,still open
Coca-Cola Enterprises,02/05/2023,This is why corporations should partner with social enterprises,still open
Coca-Cola Enterprises,02/05/2023,Western Union Appoints Matthew Cagwin as Chief Financial Officer,still open
Coca-Cola Enterprises,02/05/2023,Root Beer Drinks Market Current Status and Future Prospects (2023 ...,still open
Coca-Cola Enterprises,02/05/2023,Digital Coupons Market Size & Analysis By 2022 -2029 -Ulta Beauty ...,still open
Coca-Cola Enterprises,02/05/2023,Western Union Appoints Matt Cagwin CFO at ‘Pivotal Inflection Point’,still open
Coca-Cola Enterprises,02/05/2023,Soft Beverages Market Overview 2023-2029| Key Players –Groupe ...,still open
Coca-Cola Enterprises,02/05/2023,Women's Business Enterprise National Council Names America's ...,still open
Coca-Cola Enterprises,02/05/2023,Coca-Cola Enterprises boss admits taking £1.5m in bribes,still open
Coca-Cola Enterprises,02/05/2023,"Distilled Water Market Size, Development Data, Growth Analysis & ...",still open
Coca-Cola Enterprises,02/05/2023,Coca-Cola Business Model,still open
Coca-Cola Enterprises,02/05/2023,﻿Soft Drink Concentrates Market would Register a Healthy Growth of ...,still open
Coca-Cola Enterprises,02/05/2023,"realme, Coca-Cola probable to launch a smartphone with interesting ...",still open
Coca-Cola Enterprises,02/05/2023,Why are people protesting Atlanta’s ‘Cop City’?,still open
Coca-Cola Enterprises,02/05/2023,"Sugar-Free Foods Market Upcoming Trends, Segmented by Type ...",still open
Coca-Cola Enterprises,02/05/2023,Isotonic Drinks Market 2023 Segments Analysis by Top Key Players ...,still open
Coca-Cola Enterprises,02/05/2023,Atlanta's 500 Most Powerful Leaders in 2023: Real Estate,still open
Coca-Cola Enterprises,02/05/2023,TechNigeria: A weekly digest of what went down in Nigeria’s tech space,still open
Coca-Cola Enterprises,02/05/2023,UNDER ARMOUR APPOINTS CAROLYN EVERSON AND ...,still open
Coca-Cola Enterprises,02/05/2023,How procurement at Coca-Cola Enterprises unearthed a £1.5m ...,still open
Coca-Cola Enterprises,02/05/2023,"PET reclaimer, packaging maker among grant recipients",still open
Coca-Cola Enterprises,02/05/2023,Keeping companies in Connecticut | Business | journalinquirer.com,still open
Coca-Cola Enterprises,02/05/2023,Former Coca-Cola exec joins Lemon Perfect,still open
Coca-Cola Enterprises,02/05/2023,Redwood Software Acquires Cerberus to Extend Leadership in ...,still open
Coca-Cola Enterprises,02/05/2023,Coke Florida CEO Troy Taylor has grown the business with ...,still open
Coca-Cola Enterprises,02/05/2023,People and Community Values,still open
Coca-Cola Enterprises,02/05/2023,Coca-Cola UNITED President and CEO John H. Sherman Retires￼,still open
Coca-Cola Enterprises,02/05/2023,"2021 Business, Environmental, Social & Governance | Company ...",still open
Coca-Cola Enterprises,02/05/2023,Understanding Coca-Cola's global growth strategy,still open
Coca-Cola Enterprises,02/05/2023,"Supplier Spotlights: The Coca-Cola Co., Harbor Wholesale & Old ...",still open
Coca-Cola Enterprises,02/05/2023,How Coca-Cola is helping its suppliers improve sustainability,still open
Coca-Cola Enterprises,02/05/2023,Global Food Packaging Market to Touch Valuation of $468.18 Billion ...,still open
Coca-Cola Enterprises,02/05/2023,Coca-Cola Win Reversed at CAFC in Case over Indian Soda ...,still open
Coca-Cola Enterprises,02/05/2023,Coca-Cola's Holiday Caravan stopping at Wilderness on Dec. 11,still open
Coca-Cola Enterprises,02/05/2023,Lemon Perfect taps former Coca-Cola exec to become No. 1 brand ...,still open
Coca-Cola Enterprises,02/05/2023,"Coca-Cola announces international, Latin America, Africa leaders",still open
Coca-Cola Enterprises,02/05/2023,Coca-Cola’s Sprite becomes billion-dollar brand in Indian market,still open
Coca-Cola Enterprises,02/05/2023,Coca-Cola Bottlers & Coke System,still open
Coca-Cola Enterprises,02/05/2023,"Coca-Cola, Nestlé Won't Solve Ghana's Plastic Waste Problem With ...",still open
Coca-Cola Enterprises,02/05/2023,BoC sustains momentum in increasing tax collection through digitalization,still open
Coca-Cola Enterprises,02/05/2023,"Ducks, Honda Center Name Reyes Coca-Cola Bottling as Official ...",still open
Coca-Cola Enterprises,02/05/2023,Coca-Cola Enterprises becomes Coca-Cola European Partners ...,still open
Coca-Cola Enterprises,02/05/2023,How AI helps Coca-Cola boost supply chain procurement,still open
