Name,Data,News,Evaluation
Wells Fargo,02/05/2023,"Wells Fargo exec was raped by colleague, punished by bank, lawsuit says",still open
Wells Fargo,02/05/2023,Wells Fargo Hoped Fed Sanction Would Be Brief. Today It Turns 5,still open
Wells Fargo,02/05/2023,Wells Fargo Advisors Wins Nearly $20M in Raiding Claim Against Raymond James,still open
Wells Fargo,02/05/2023,Lawsuit Accuses Wells Fargo of Failing to Protect Female SVP from Sexual Harassment,still open
Wells Fargo,02/05/2023,Shareholders 13% loss in Wells Fargo (NYSE:WFC) partly attributable to the company's decline in earnings over past year,still open
Wells Fargo,02/05/2023,Shock details emerge after Wells Fargo senior VP claimed boss ‘raped her several times before retaliating a...,still open
Wells Fargo,02/05/2023,COVID is 'pretty much out of the models' for pharma companies: Wells Fargo analyst,still open
Wells Fargo,02/05/2023,"Wells Fargo, once the No. 1 player in mortgages, is stepping back from the housing market",still open
Wells Fargo,02/05/2023,Wells Fargo Federal Reserve Sanction Turns 5. When Will It End?,still open
Wells Fargo,02/05/2023,"3 things to know about Wells Fargo, Charlotte’s biggest bank by employee totals",still open
Wells Fargo,02/05/2023,"As downtown Des Moines' Wells Fargo departs, what else is moving?",still open
Wells Fargo,02/05/2023,Wells Fargo employees moving to former Duke Energy building ...,still open
Wells Fargo,02/05/2023,"After fake accounts drew notice, Wells Fargo focused on damage ...",still open
Wells Fargo,02/05/2023,"'Stay Invested,' Says $2 Billion Wells Fargo Advisor",still open
Wells Fargo,02/05/2023,Better Buy: Wells Fargo or Citigroup?,still open
Wells Fargo,02/05/2023,What’s ahead for Wells Fargo and its customers,still open
Wells Fargo,02/05/2023,Wells Fargo Sued Over $800 Million of Losses at Hedge Fund (1),still open
Wells Fargo,02/05/2023,Wells Fargo fined $3.7 billion for illegal practices,still open
Wells Fargo,02/05/2023,Former Wells Fargo executive who departed amid fake account ...,still open
Wells Fargo,02/05/2023,Wells Fargo cuts 140 jobs as it exits the correspondent channel,still open
Wells Fargo,02/05/2023,Wells Fargo Announces $50 Million Grant to NAACP,still open
Wells Fargo,02/05/2023,Wells Fargo & Company (NYSE:WFC) Given Consensus ...,still open
Wells Fargo,02/05/2023,Wells Fargo Downgrades SLM (SLM),still open
Wells Fargo,02/05/2023,How Wells Fargo Rebooted Business Banking for the Digital Future,still open
Wells Fargo,02/05/2023,"Wells Fargo misses profit estimate on higher reserves, scandal costs",still open
Wells Fargo,02/05/2023,Wells Fargo Downgrades Edison International (EIX),still open
Wells Fargo,02/05/2023,Wells Fargo holds CEO Scharf's pay steady at $24.5M,still open
Wells Fargo,02/05/2023,"Bank earnings are in. Wells Fargo, Morgan Stanley still our favorites",still open
Wells Fargo,02/05/2023,Wells Fargo Autograph Card review: Quality perks with no annual fee,still open
Wells Fargo,02/05/2023,Metis Global Partners LLC Sells 9053 Shares of Wells Fargo ...,still open
Wells Fargo,02/05/2023,"Rumors, rumors everywhere, but no Wells Fargo MSR deal — so far",still open
Wells Fargo,02/05/2023,Wells Fargo Continues to Flourish,still open
Wells Fargo,02/05/2023,How Wells Fargo’s Mortgage Pullback Affects Borrowers,still open
Wells Fargo,02/05/2023,Wells Fargo Must Face Black Homeowners' Bias Suit Over Appraisal,still open
Wells Fargo,02/05/2023,Wells Fargo to streamline its mortgage business | Business ...,still open
Wells Fargo,02/05/2023,"Planned digital wallet format supported by Truist, Wells Fargo, Bank ...",still open
Wells Fargo,02/05/2023,SZA at Wells Fargo Center on March 2nd,still open
Wells Fargo,02/05/2023,South Lebanon Twp Police looking for who fired at Wells Fargo ...,still open
Wells Fargo,02/05/2023,How Wells Fargo May Finally Pay for How it Treats Customers,still open
Wells Fargo,02/05/2023,Wells Fargo gives a bullish endorsement to beleaguered Disney,still open
Wells Fargo,02/05/2023,"Lawyer productivity, demand dropped in 2022 - Wells Fargo report",still open
Wells Fargo,02/05/2023,Republicans Issue Third Report on Wells Fargo Mismanagement ...,still open
Wells Fargo,02/05/2023,Rumors of mega-MSR offerings from Wells Fargo stir market,still open
Wells Fargo,02/05/2023,Wells Fargo Cancels Prominent Florida Gun Dealer's Accounts ...,still open
Wells Fargo,02/05/2023,Former Valdese Wells Fargo building gets new life,still open
Wells Fargo,02/05/2023,"Wells Fargo VP Fired, Allegedly Urinated On Plane Passenger",still open
Wells Fargo,02/05/2023,Wells Fargo offers food shopping advice for Super Bowl party hosts in SC,still open
Wells Fargo,02/05/2023,Big Banks Set Aside Billions as They Brace for a Downturn,still open
Wells Fargo,02/05/2023,Milwaukee man found guilty of robbing Wells Fargo Bank three times,still open
Wells Fargo,02/05/2023,Wells Fargo Launches $20 Million Invest Native Initiative for Native ...,still open
Wells Fargo,02/05/2023,"JPMorgan, BofA Headcount Jumps While Wells Fargo's Falls",still open
Wells Fargo,02/05/2023,"JPMorgan, Wells Fargo, Bank of America and Citi beat earnings expectations, but worries about headwinds remain",still open
Wells Fargo,02/05/2023,"Bank of America, Wells Fargo downgraded by Piper Sandler after ...",still open
Wells Fargo,02/05/2023,Wells Fargo exiting correspondent mortgage lending business,still open
Wells Fargo,02/05/2023,"Wells Fargo, Truist turn to upskilling to gain cloud, programming ...",still open
Wells Fargo,02/05/2023,WWE stock upgraded at Wells Fargo as analysts debate potential buyers,still open
Wells Fargo,02/05/2023,Springfield Wells Fargo Bank teller alerts FHP trooper to robbery ...,still open
Wells Fargo,02/05/2023,"Ex-Dividend Reminder: Wells Fargo, Norfolk Southern and ...",still open
Wells Fargo,02/05/2023,Wells Fargo Owes $2 Billion to Millions of Americans. Here's How to ...,still open
Wells Fargo,02/05/2023,Apple slips as Wells Fargo cuts estimates on increased signs of ...,still open
Wells Fargo,02/05/2023,Villanova Athletics and the Wells Fargo Center Announce Logistics ...,still open
Wells Fargo,02/05/2023,Wells Fargo downgrades Pfizer to equal weight citing need for ...,still open
Wells Fargo,02/05/2023,Wells Fargo's solid 4Q and planned share buybacks support thesis,still open
Wells Fargo,02/05/2023,Ball (NYSE:BALL) PT Raised to $51.00 at Wells Fargo & Company,still open
Wells Fargo,02/05/2023,Rocket Companies share price rise driven by changing rate outlook ...,still open
Wells Fargo,02/05/2023,Wells Fargo Downgrades American Electric Power (AEP),still open
Wells Fargo,02/05/2023,Wells Fargo labors under $100 billion sin discount,still open
Wells Fargo,02/05/2023,"US: Despite the rebound, the breadth of services expansion has still slowed – Wells Fargo",still open
Wells Fargo,02/05/2023,Wells Fargo Maintains Underweight Rating for Trane Technologies: Here's What You Need To Know - Trane Tec,still open
Wells Fargo,02/05/2023,"Wells Fargo Adjusts Price Target on Hershey to $230 From $220, Maintains Underweight Rating",still open
Wells Fargo,02/05/2023,Wells Fargo & Company Cuts Murphy USA (NYSE:MUSA) Price ...,still open
Wells Fargo,02/05/2023,"Wells Fargo Adjusts Qualcomm's Price Target to $130 From $105, Keeps Underweight Rating",still open
Wells Fargo,02/05/2023,"Columbus police, FBI searching for suspect in Wells Fargo armed robbery",still open
Wells Fargo,02/05/2023,Wells Fargo & Company Cuts Corteva (NYSE:CTVA) Price Target to ...,still open
Wells Fargo,02/05/2023,Estée Lauder Companies (NYSE:EL) PT Raised to $290.00 at Wells ...,still open
Wells Fargo,02/05/2023,Janus Henderson Group (NYSE:JHG) PT Raised to $26.00 at Wells ...,still open
Wells Fargo,02/05/2023,Full details of Bismarck Wells Fargo bank robbery,still open
Wells Fargo,02/05/2023,Sunrun (NASDAQ:RUN) Given New $31.00 Price Target at Wells ...,still open
Wells Fargo,02/05/2023,Wells Fargo & Company Boosts Hershey (NYSE:HSY) Price Target ...,still open
Wells Fargo,02/05/2023,Wells Fargo & Company Increases Enphase Energy (NASDAQ ...,still open
Wells Fargo,02/05/2023,"Wells Fargo Maintains Overweight on Sunrun, Lowers Price Target ...",still open
Wells Fargo,02/05/2023,Arrow Electronics (NYSE:ARW) Price Target Raised to $100.00 at ...,still open
Wells Fargo,02/05/2023,Wells Fargo & Company Trims Sirius XM (NASDAQ:SIRI) Target ...,still open
Wells Fargo,02/05/2023,Alphabet (NASDAQ:GOOGL) PT Raised to $150.00 at Wells Fargo ...,still open
Wells Fargo,02/05/2023,"Rob Zombie, Alice Cooper play Wells Fargo Arena in September",still open
Wells Fargo,02/05/2023,Microchip Technology (NASDAQ:MCHP) Price Target Raised to ...,still open
