Name,Data,News,Evaluation
Hasbro Inc.,02/05/2023,"Possible turnaround for Hasbro, Inc. (NASDAQ:HAS) insiders, still down US$346k after a US$1.1m shopping spree",still open
Hasbro Inc.,02/05/2023,"Hasbro Inc. stock falls Friday, underperforms market",still open
Hasbro Inc.,02/05/2023,ProShare Advisors LLC Has $1.07 Million Stock Holdings in Hasbro ...,still open
Hasbro Inc.,02/05/2023,"Hasbro Inc. stock rises Thursday, outperforms market",still open
Hasbro Inc.,02/05/2023,"Hasbro to cut 15% of workforce in 2023, estimates dour holiday ...",still open
Hasbro Inc.,02/05/2023,"Hasbro Inc. stock falls Thursday, underperforms market",still open
Hasbro Inc.,02/05/2023,"Brinker Capital Investments LLC Decreases Holdings in Hasbro, Inc ...",still open
Hasbro Inc.,02/05/2023,"Hasbro Inc. stock rises Tuesday, outperforms market",still open
Hasbro Inc.,02/05/2023,"Hasbro Inc. stock rises Friday, outperforms market",still open
Hasbro Inc.,02/05/2023,Hasbro Named One of America's Most JUST Companies by JUST ...,still open
Hasbro Inc.,02/05/2023,e.l.f. Beauty and Hasbro have been highlighted as Zacks Bull and ...,still open
Hasbro Inc.,02/05/2023,Concerns mount for Hasbro as Dungeons & Dragons parent ...,still open
Hasbro Inc.,02/05/2023,Bear of the Day: Hasbro (HAS),still open
Hasbro Inc.,02/05/2023,"Ex-Dividend Reminder: Hasbro, Casey's General Stores and AES",still open
Hasbro Inc.,02/05/2023,"Brokers Set Expectations for Hasbro, Inc.'s Q1 2023 Earnings ...",still open
Hasbro Inc.,02/05/2023,Case Breakdown for Legacy Evolution Waves 3 and 4 Show What ...,still open
Hasbro Inc.,02/05/2023,"Hasbro, Inc. is purchased by Mitsubishi UFJ Kokusai Asset ...",still open
Hasbro Inc.,02/05/2023,"Foster & Motley Inc. Has $1.90 Million Stake in Hasbro, Inc ...",still open
Hasbro Inc.,02/05/2023,"Goldman Sachs Downgrades Hasbro to Neutral From Buy, Price Target is $64",still open
Hasbro Inc.,02/05/2023,"Hasbro to cut 1,000 global full-time jobs in 2023",still open
