Name,Data,News,Evaluation
Tesoro Petroleum Co.,02/05/2023,Tesoro Fined $1.5M For Violations At Martinez Refinery: Air District,still open
Tesoro Petroleum Co.,02/05/2023,Treasury Sanctions Nicaragua Directorate of Mines and Government ...,still open
Tesoro Petroleum Co.,02/05/2023,Explosion and fire at the Tesoro Refinery in Anacortes kills seven ...,still open
Tesoro Petroleum Co.,02/05/2023,Feds Defend Trespass Claim Against Marathon Petroleum Unit,still open
Tesoro Petroleum Co.,02/05/2023,Lawsuits Challenge Two Massive Bay Area Biofuel Refinery Projects,still open
Tesoro Petroleum Co.,02/05/2023,Tesoro Corporation: A Strong Buy (NYSE:ANDV),still open
Tesoro Petroleum Co.,02/05/2023,The former CEO of San Antonio oil company Tesoro is selling his ...,still open
Tesoro Petroleum Co.,02/05/2023,Papa Johns Appoints Elias Reyna as Chief People and Diversity ...,still open
Tesoro Petroleum Co.,02/05/2023,Raymond Joseph Hutchinson Obituary,still open
Tesoro Petroleum Co.,02/05/2023,Marathon's Kenai refinery on the market,still open
Tesoro Petroleum Co.,02/05/2023,Treasury Issues Venezuela General License 41 Upon Resumption ...,still open
Tesoro Petroleum Co.,02/05/2023,"Keystone oil spill in Kansas is largest in pipeline’s history, federal data shows",still open
Tesoro Petroleum Co.,02/05/2023,Tesoro Changing Company Name to Andeavor,still open
Tesoro Petroleum Co.,02/05/2023,Tesoro Is Now Andeavor: Inside the New Company,still open
Tesoro Petroleum Co.,02/05/2023,Shutdown of Marathon's Martinez Refinery Prompts Calls for 'Just ...,still open
Tesoro Petroleum Co.,02/05/2023,Treasury Announces Information Timeline for Inflation Reduction Act ...,still open
Tesoro Petroleum Co.,02/05/2023,Marathon to pay $2 million for air quality violations at idled Martinez oil refinery,still open
Tesoro Petroleum Co.,02/05/2023,"Tesoro places its bet on a new, West Coast oil terminal",still open
Tesoro Petroleum Co.,02/05/2023,Ex-Tesoro CEO invests in SA accounting startup - San Antonio ...,still open
Tesoro Petroleum Co.,02/05/2023,Treasury Targets Companies Supporting Iranian Petrochemical ...,still open
Tesoro Petroleum Co.,02/05/2023,FACT SHEET: Department of Energy Releases New Notice of Sale ...,still open
Tesoro Petroleum Co.,02/05/2023,Marathon Petroleum to pilot mystery shop program,still open
Tesoro Petroleum Co.,02/05/2023,Tesoro (NYSE: TSO) will rebrand as Andeavor after acquisition of ...,still open
